,Accellerene,0,0,0,,p-Nitrosodimethylaniline (UN1369),,,,,,,,,,,,,ACCELLERENE,,,,,,,,11281
,"Accumulators, electric",0,0,0,,"Batteries, wet, filled with acid (UN2794);Batteries, wet, filled with alkali (UN2795);Batteries, wet, non-spillable (UN2800)",,,,,,,,,,,,,ACCUMULATORSELECTRIC,,,,,,,,29761
,"Accumulators, pressurized, hydraulic (containing non-flammable gas)",0,0,0,,"Articles, pressurized, hydraulic (UN3164)",,,,,,,,,,,,,ACCUMULATORSPRESSURIZEDHYDRAULICCONTAININGNONFLAMMABLEGAS,,,,,,,,33911
,"Accumulators, pressurized, pneumatic (containing non-flammable gas)",0,0,0,,"Articles, pressurized, pneumatic (UN3164)",,,,,,,,,,,,,ACCUMULATORSPRESSURIZEDPNEUMATICCONTAININGNONFLAMMABLEGAS,,,,,,,,33901
1088,Acetal,0,0,0,,,3,,Flammable Liquid;Package Orientation,II,Y341,1 L,353,5 L,364,60 L,,3H,ACETAL3,Acetal,,E2,RFL,,,,7001
1089,Acetaldehyde,0,0,0,,,3,,Flammable Liquid;Package Orientation,I,Forbidden,Forbidden,Forbidden,Forbidden,361,30 L,A1,3H,ACETALDEHYDE3,Acetaldehyde,,E0,RFL,,,AUG-01;BRG-04;CAG-07;HRG-03;IRG-03;KPG-02;MOG-02;NLG-01;OMG-01;USG-03;VEG-01,7031
1841,Acetaldehyde ammonia,0,0,0,,,9,,Miscellaneous,III,Forbidden,Forbidden,956,200 kg,956,200 kg,,9L,ACETALDEHYDEAMMONIA9,Acetaldehyde ammonia,,E1,RMD,,,,18201
2332,Acetaldehyde oxime,0,0,0,,,3,,Flammable Liquid;Package Orientation,III,Y344,10 L,355,60 L,366,220 L,,3L,ACETALDEHYDEOXIME3,Acetaldehyde oxime,,E1,RFL,,,,23801
2789,"Acetic acid, glacial",0,0,0,,,8,3,Corrosive;Flammable Liquid;Package Orientation,II,Y840,0.5 L,851,1 L,855,30 L,,8F,ACETICACIDGLACIAL8,"Acetic acid, glacial",,E2,RCM,RFL,,,29651
2790,Acetic acid solution,0,0,0,"more than 10% but less than 50% acid, by weight",,8,,Corrosive;Package Orientation,III,Y841,1 L,852,5 L,856,60 L,A803,8L,ACETICACIDSOLUTION8MORETHAN10BUTLESSTHAN50ACIDBYWEIGHT,Acetic acid solution,,E1,RCM,,,,44151
2789,Acetic acid solution,0,0,0,"more than 80% acid, by weight",,8,3,Corrosive;Flammable Liquid;Package Orientation,II,Y840,0.5 L,851,1 L,855,30 L,,8F,ACETICACIDSOLUTION8MORETHAN80ACIDBYWEIGHT,Acetic acid solution,,E2,RCM,RFL,,,29661
2790,Acetic acid solution,0,0,0,"not less than 50% but not more than 80% acid, by weight",,8,,Corrosive;Package Orientation,II,Y840,0.5 L,851,1 L,855,30 L,,8L,ACETICACIDSOLUTION8NOTLESSTHAN50BUTNOTMORETHAN80ACIDBYWEIGHT,Acetic acid solution,,E2,RCM,,,,29671
1715,Acetic anhydride,0,0,0,,,8,3,Corrosive;Flammable Liquid;Package Orientation,II,Y840,0.5 L,851,1 L,855,30 L,,8F,ACETICANHYDRIDE8,Acetic anhydride,,E2,RCM,RFL,,,16041
2911,"Radioactive material, excepted package — articles",0,0,0,,,7,,,,Forbidden,Forbidden,See 10.3,See 10.3,See 211,See 10.3,A130,7L,RADIOACTIVEMATERIALEXCEPTEDPACKAGEARTICLES7,"Radioactive material, excepted package — articles",,,RRE,,,,45011
2912,"Radioactive material, excepted package — articles",0,0,0,,,7,,,,Forbidden,Forbidden,See 962,See 10.3,See A199,See 10.3,A130,7L,RADIOACTIVEMATERIALEXCEPTEDPACKAGEARTICLES7,"Radioactive material, excepted package — articles",,,RRE,,,,45012
